Lead1,Lead2,Lead3
242,243,245
1170,1170,1172
2079,2081,2082
2951,2953,2954
3764,3765,3767
4615,4616,4618
5520,5521,5523
6484,6485,6486
7462,7464,7465
8365,8366,8367
9218,9219,9220
10125,10126,10127
11066,11067,11069
12063,12064,12066
13054,13056,13057
13987,13988,13989
14889,14891,14892
15820,15821,15823
16783,16784,16786
17703,17704,17706
18584,18585,18587
19484,19485,19487
20432,20433,20435
21454,21455,21456
22439,22440,22442
23353,23354,23356
24265,24266,24268
25184,25185,25187
26157,26159,26161
27093,27095,27096
28001,28002,28004
28959,28960,28962
29966,29967,29995
30954,30955,30981
31885,31886,31913
32773,32774,32801
33670,33671,33699
34660,34662,34688
35658,35659,35688
36609,36610,36638
37618,37619,37646
38596,38597,38626
39507,39486,39514
40357,40358,40386
41254,41255,41281
42186,42187,42213
43150,43128,43156
44080,44058,44084
45044,45021,45048
46059,46037,46064
47060,47037,47066
47989,47967,47995
48906,48884,48911
49854,49832,49860
50820,50798,50825
51762,51739,51767
52684,52662,52689
53570,53549,53577
54442,54420,54448
55354,55331,55358
56316,56294,56321
57283,57261,57287
58235,58213,58240
59172,59150,59177
60088,60066,61033
61028,61005,61915
61909,61887,62812
62807,62785,63725
63721,63699,64742
64737,64714,65731
65725,65703,66701
66695,66673,67725
67719,67696,68785
68779,68756,69789
70755,69761,70761
71764,70734,71770
72874,71742,72879
73976,72852,75084
75078,73953,76093
77111,75056,77116
78124,76064,78130
79160,77088,79166
82080,78101,80167
83098,79137,81116
84155,80138,82085
90196,81090,83102
91298,82058,84162
92390,83075,85156
93475,84133,86032
94529,85128,86861
95565,86005,87869
96596,86836,89051
98623,87842,90202
99692,89024,91304
100808,90174,97606
103849,91276,99697
104840,92367,100814
105860,93452,101877
108721,94506,102879
109717,95542,103854
110716,96574,104844
112648,97578,105865
113555,98601,106837
115382,99670,107755
116360,100785,108726
117462,101849,109722
119362,102851,110723
120233,103827,111703
121153,104817,112653
122948,105838,114457
123902,106809,115388
124904,107727,116366
126994,108699,117468
128031,109694,118471
129112,110694,119368
130995,111677,121159
131924,112626,122059
132875,113532,122953
133821,114429,123906
134787,115360,124910
135826,116338,125962
136917,117439,127000
137984,118444,128035
139984,119340,129118
140999,120211,130084
142012,121131,131000
143009,122031,131930
144006,122926,132882
145070,123879,133827
147128,124882,134792
148188,125934,135832
149250,126971,136922
150272,128008,137989
151325,129089,138978
152384,130057,139989
154421,130973,141005
155453,131902,142019
156495,132853,143014
157527,133799,144010
158601,134764,145075
159733,135803,146107
161880,136894,147132
162941,137961,148193
163993,138951,149258
165011,139961,150276
166041,140976,151329
167109,141990,152391
168164,142986,153415
169213,143983,154427
170287,145048,155457
171377,146079,156502
172459,147105,157533
173508,148165,158607
174555,149229,159738
175623,150250,160820
176629,151302,161884
177618,152362,163999
178637,153386,165017
179698,154398,166046
180776,155429,167116
181868,156474,168171
182950,157504,169218
184984,158578,170293
,159710,171382
,160792,172466
,161857,173514
,162919,174560
,163970,175628
,164989,176635
,166019,177624
,167086,178641
,168143,179705
,169191,180781
,170264,181873
,171355,182956
,172437,183974
,173486,184989
,174531,
,175600,
,176607,
,177595,
,178614,
,179677,
,180754,
,181844,
,182927,
,183946,
,184961,
